Test Name,SRL,SRL BERT,SRL Group 9
One Proposition -> Multiple Realizations,0.7142857142857143,0.7142857142857143,1.0
Statement vs. Question,0.5714285714285714,0.5714285714285714,1.0
Active vs. Passive,0.6666666666666666,1.0,1.0
Clefts,0.875,0.875,1.0
Verb Alternations/Levin's classes,0.1111111111111111,0.2222222222222222,0.3333333333333333
Synonyms,0.2222222222222222,0.2222222222222222,0.2222222222222222
Polysemy,0.5384615384615384,0.6153846153846154,0.7692307692307693
Spelling Errors,0.6,0.4,0.6
Long Distance Dependencies,0.875,0.875,1.0
